match_id,team,opponent,venue,city,toss_winner,toss_decision,innings,player_name,role,runs,balls_faced,strike_rate,fours,sixes,wickets,overs_bowled,economy,match_result,player_of_match
1,RCB,GT,Eden Gardens,Bangalore,RR,Bat,1,Player_54,Bowler,16,13,123.07692307692308,4,2,0,1.9,5.89,Win,No
2,DC,MI,Chinnaswamy,Chennai,DC,Bat,1,Player_317,All-rounder,57,71,80.28169014084507,4,3,0,2.1,8.45,Win,Yes
3,SRH,RR,Eden Gardens,Kolkata,GT,Bowl,2,Player_142,All-rounder,49,63,77.77777777777779,4,1,2,0.9,10.27,Win,Yes
4,RCB,MI,Kotla,Chennai,KKR,Bat,1,Player_271,All-rounder,76,88,86.36363636363636,1,5,3,2.0,7.95,Win,No
5,RR,RCB,Kotla,Chennai,LSG,Bowl,2,Player_64,All-rounder,58,60,96.66666666666667,3,2,1,0.5,8.58,Loss,No
6,PBKS,RR,Eden Gardens,Bangalore,KKR,Bowl,2,Player_275,Batsman,62,58,106.89655172413792,6,4,0,1.9,7.43,Loss,Yes
7,MI,RR,Wankhede,Mumbai,LSG,Bat,2,Player_69,Batsman,45,69,,1,5,1,3.6,7.88,Win,No
8,SRH,GT,Kotla,Mumbai,LSG,Bat,1,Player_213,Batsman,80,55,145.45454545454547,3,3,0,0.8,6.5,Loss,Yes
9,RR,RCB,Kotla,Mumbai,PBKS,Bat,1,Player_300,All-rounder,106,84,126.19047619047619,0,4,4,0.5,5.93,Loss,Yes
10,KKR,DC,Wankhede,Mumbai,DC,Bat,2,Player_120,Batsman,34,41,82.92682926829268,2,5,2,0.7,6.66,Win,No
11,PBKS,GT,Kotla,Delhi,DC,Bowl,1,Player_310,Bowler,66,81,81.48148148148148,2,3,0,2.3,10.9,Win,No
12,CSK,SRH,Wankhede,Chennai,KKR,Bat,2,Player_263,Bowler,101,73,138.35616438356163,5,1,1,3.1,10.5,Loss,Yes
13,DC,SRH,Kotla,Bangalore,KKR,Bowl,1,Player_244,Batsman,48,42,114.28571428571428,9,2,3,1.4,4.31,Win,Yes
14,DC,MI,Eden Gardens,Mumbai,RCB,Bat,1,Player_343,Batsman,46,29,158.6206896551724,0,4,1,1.9,9.53,Loss,Yes
15,RCB,MI,Kotla,Kolkata,RCB,Bowl,2,Player_147,All-rounder,107,87,122.98850574712642,9,0,4,2.4,4.46,Loss,Yes
16,KKR,RCB,Chinnaswamy,Mumbai,PBKS,Bat,2,Player_347,All-rounder,39,49,79.59183673469387,2,0,1,2.8,6.05,Win,No
17,RCB,CSK,Eden Gardens,Kolkata,SRH,Bat,1,Player_149,All-rounder,56,39,143.5897435897436,3,1,4,2.7,,Win,No
18,RR,MI,Wankhede,Bangalore,CSK,Bat,1,Player_131,All-rounder,34,45,75.55555555555556,2,1,2,3.7,6.71,Win,Yes
19,SRH,PBKS,Eden Gardens,Bangalore,CSK,Bowl,2,Player_83,All-rounder,23,22,104.54545454545455,3,3,0,2.9,8.86,Win,No
20,KKR,MI,Wankhede,Chennai,PBKS,Bat,2,Player_39,Batsman,24,22,109.09090909090908,5,4,1,1.9,9.95,Loss,No
21,KKR,GT,Kotla,Delhi,DC,Bat,1,Player_194,Batsman,29,27,107.40740740740742,5,1,0,2.1,6.7,Win,Yes
22,LSG,KKR,Chepauk,Bangalore,SRH,Bat,2,Player_43,Bowler,66,47,140.4255319148936,3,4,3,1.8,,Win,No
23,DC,GT,Chinnaswamy,Delhi,LSG,Bat,1,Player_319,All-rounder,83,66,125.75757575757575,3,2,0,1.3,8.5,Loss,Yes
24,CSK,RR,Wankhede,Kolkata,MI,Bat,1,Player_310,All-rounder,61,86,70.93023255813954,9,1,0,2.1,9.3,Loss,Yes
25,GT,PBKS,Eden Gardens,Kolkata,RCB,Bat,2,Player_165,Bowler,27,39,,1,4,4,3.9,8.89,Win,Yes
26,DC,SRH,Eden Gardens,Bangalore,SRH,Bat,2,Player_94,Batsman,116,78,148.71794871794873,3,5,3,3.1,8.16,Win,Yes
27,MI,PBKS,Kotla,Kolkata,SRH,Bat,1,Player_182,Batsman,29,41,70.73170731707317,7,1,2,1.0,5.55,Loss,Yes
28,PBKS,SRH,Wankhede,Mumbai,SRH,Bat,2,Player_298,Batsman,21,19,110.5263157894737,5,3,0,1.3,7.42,Loss,No
29,GT,RR,Chepauk,Bangalore,PBKS,Bowl,2,Player_344,Bowler,48,49,97.95918367346938,4,0,0,2.1,6.8,Win,No
30,CSK,LSG,Wankhede,Delhi,DC,Bowl,1,Player_100,Batsman,77,88,87.5,4,3,4,0.8,4.93,Loss,No
31,MI,SRH,Wankhede,Delhi,DC,Bat,2,Player_162,Bowler,30,31,96.7741935483871,4,4,2,1.7,8.8,Loss,Yes
32,RR,PBKS,Wankhede,Delhi,CSK,Bowl,2,Player_304,Batsman,30,20,,7,5,3,3.6,6.65,Loss,No
33,GT,MI,Chepauk,Mumbai,CSK,Bowl,1,Player_146,Bowler,58,50,115.99999999999999,5,4,0,1.7,8.2,Win,No
34,LSG,RCB,Eden Gardens,Chennai,LSG,Bowl,1,Player_146,Bowler,16,20,80.0,0,0,3,0.9,6.69,Win,No
35,SRH,MI,Kotla,Bangalore,KKR,Bowl,2,Player_235,Bowler,69,81,85.18518518518519,2,3,3,2.4,7.08,Win,No
36,RCB,DC,Eden Gardens,Mumbai,LSG,Bat,1,Player_317,All-rounder,66,75,88.0,7,0,3,2.1,,Win,No
37,RCB,PBKS,Eden Gardens,Kolkata,LSG,Bowl,1,Player_218,Bowler,53,85,62.35294117647059,3,3,1,3.0,5.39,Win,Yes
38,GT,MI,Chepauk,Mumbai,CSK,Bat,1,Player_341,Batsman,8,10,80.0,2,1,1,1.7,9.69,Loss,No
39,DC,LSG,Kotla,Delhi,SRH,Bowl,2,Player_89,All-rounder,120,84,142.85714285714286,6,5,1,3.3,8.26,Loss,No
40,CSK,PBKS,Chinnaswamy,Delhi,MI,Bowl,2,Player_343,Batsman,34,24,141.66666666666669,1,0,1,1.4,7.31,Loss,No
41,PBKS,RCB,Chinnaswamy,Bangalore,MI,Bat,2,Player_181,All-rounder,33,31,106.4516129032258,3,2,3,3.6,9.04,Win,No
42,KKR,RCB,Kotla,Kolkata,SRH,Bat,2,Player_122,Bowler,33,46,,3,2,1,3.3,9.38,Win,No
43,KKR,SRH,Chinnaswamy,Bangalore,SRH,Bowl,1,Player_187,All-rounder,54,66,81.81818181818183,9,3,0,2.6,9.07,Win,No
44,PBKS,LSG,Chepauk,Kolkata,PBKS,Bowl,1,Player_67,All-rounder,116,87,133.33333333333331,2,4,2,3.5,8.22,Loss,No
45,RCB,DC,Chinnaswamy,Bangalore,PBKS,Bowl,2,Player_334,All-rounder,55,41,134.14634146341464,1,5,4,1.4,6.93,Loss,Yes
46,RR,PBKS,Kotla,Kolkata,MI,Bowl,1,Player_264,All-rounder,42,62,67.74193548387096,2,2,0,3.3,7.53,Loss,No
47,SRH,RR,Chepauk,Mumbai,CSK,Bowl,1,Player_92,Bowler,107,82,130.4878048780488,5,1,4,3.0,4.66,Win,Yes
48,MI,LSG,Kotla,Bangalore,CSK,Bowl,1,Player_63,All-rounder,29,46,63.04347826086957,5,2,3,2.5,8.46,Loss,No
